org_short_name,org_full_name,crafd_connection,org_logo_white,logo_path
 AAN,Afghanistan Analysts Network ,Collaborating Partner,,
 AWLN,African Women Leaders Network,Implementing Partner,,
 SRMO,Safety and Risk Mitigation Organization ,Collaborating Partner,,
510,The Netherlands Red Cross‘ data and digital unit 510,Implementing Partner,,
AAI,ActionAid International [FHN Secretariat],Administrative Partner,,
ACAPS,ACAPS,Collaborating Partner,,
ACHR,Access Center for Human Rights (ACHR),Collaborating Partner,,
ACLED,Armed Conflict Location & Event Data Project (ACLED),"Lead Project Partner, Collaborating Partner",ACLED Vert- Logo (White).png (https://v5.airtableusercontent.com/v3/u/50/50/1771444800000/T-bd6x6_0ERhsYHBxzByKg/89n9wqm1aLwUI849N9shTjM7yAMFqA9k0oHhW5r9REpPzTuqM_LZ0LSjs-_Dx7XTFVVE6yOjf65iNPboma06kEjv8vPOeYwVSQYATXMPMIqW78eqDc64YiTNPZsahVdF6oOkAUn3ASJv5ll6MoYQQJ7IRRwclyvshJKdfS__AE0/p__wA5xSZ9Jv-Jcz5kbtm16FuImIe328wiMYoM-YqmM),/logos/acled.png
ACMS,Xenowatch / African Centre for Migration & Society ,Collaborating Partner,,
ACTED,Agency for Technical Cooperation and Development,Collaborating Partner,,
ADHRB,Americans for Democracy & Human Rights in Bahrain  ,Collaborating Partner,,
AFJC,Association des Femmes Juristes de Centrafrique ,Implementing Partner,,
AFPA,L'Alliance des femmes en Haiti,Implementing Partner,,
AISHA,Association for Women and Child Protection ,Collaborating Partner,,
APW,Afghan Peace Watch,Implementing Partner,,
ASSN,African Security Sector Network ,Collaborating Partner,,
AWAFY ,Awafy Sudanese Organization  ,Collaborating Partner,,
AWSD,Aid Worker Security Database  ,Collaborating Partner,,
Airwars  ,Airwars  ,Collaborating Partner,,
Armillary Services,Armillary Services,Implementing Partner,,
Avviso Pubblico,Local Municipalities and Regions Against Mafia and Corruption,Collaborating Partner,,
BDRCS,Bangladesh Red Crescent Society,Implementing Partner,,
CARDH,Centre d’analyse et de recherche en droits de l’homme,Implementing Partner,,
CARR,Centre for Analysis of the Radical Right,Collaborating Partner,,
CDD,Centre for Democracy and Development,Collaborating Partner,,
CEWARN,Conflict Early Warning and Response Mechanism  ,Collaborating Partner,,
CIAO,Columbia International Affairs Online,Collaborating Partner,,
CIEPD,Community Initiative for Enhanced Peace and Development / Conflict Watch Center  ,Collaborating Partner,,
CIESIN,The Center for Integrated Earth System Information ,Implementing Partner,,
CIVIC,Center for Civilians in Conflict ,Collaborating Partner,,
COCAP,Collective Campaign for Peace   ,Collaborating Partner,,
COES,Center for Social Conflict and Cohesion Studies  ,Collaborating Partner,,
COES,Centre for Social Conflict and Cohesion Studies (COES) | Chile ,Collaborating Partner,,
CRAF'd,Complex Risk Analytics Fund,CRAF'd,,
CSC,Center for Social Change ,Collaborating Partner,,
CVG,Cure Violence Global,Collaborating Partner,,
Cambridge Zero,Cambridge Zero,Implementing Partner,,
CeSSRA,Center for Social Sciences Research and Action  ,Collaborating Partner,,
Clingendael,Clingendael,Collaborating Partner,,
DA,Dalberg Associates,Implementing Partner,,
DCO,United Nations Development Coordination Office  (UNDCO),MoU Signatory/UN Partner,,
DFS,Data Friendly Space,Implementing Partner,,
DPO,Department of Peace Operations (DPO),MoU Signatory/UN Partner,,
DPPA,United Nations Department of Political and Peacebuilding Affairs (UNDPPA),"MoU Signatory/UN Partner, Lead Project Partner",,
DSW,Deep South Watch  ,Collaborating Partner,,
Dallaire Institute,Dallaire Institute,Collaborating Partner,,
Data42,Data42,Collaborating Partner,,
DevTransform,Development Transformations,Implementing Partner,,
Dialogos  ,Dialogos  ,Collaborating Partner,,
EAI,Equal Access International (EAI) | Ivory Coast ,Collaborating Partner,,
EAI,Equal Access International  ,Collaborating Partner,,
EOD,Eyzidi Organization for Documentation,Collaborating Partner,,
ERI,Emergent Risk International,Collaborating Partner,,
Element 84,Element 84,Implementing Partner,,
Every Town for Gun Safety  ,Every Town for Gun Safety  ,Collaborating Partner,,
FAO,Food and Agriculture Organization of the United Nations (FAO),"MoU Signatory/UN Partner, Collaborating Partner",,
FHN_AAI,Feminist Humanitarian Network (FHN)_AAI,Lead Project Partner,,
FLD,Front Line Defenders  ,Collaborating Partner,,
FMA,Foundation for Media Alternatives  ,Collaborating Partner,,
FORUM-ASIA,Asian Forum for Human Rights and Development   ,Collaborating Partner,,
FPB,Forum de Paix de Beni  ,Collaborating Partner,,
FPB,Forum de Paix de Béni (FPB) | Democratic Republic of the Congo (DRC) ,Collaborating Partner,,
FWM,Insights – Framework Mechanism (FWM – formerly Data for Change)  ,Collaborating Partner,,
