airtable_id,org_short_name,org_full_name,crafd_connection,org_type,relational_project,logo_slug,org_url,total_grant_size
recG9gXmj4mAvsVtu,3iS,3iS,['Collaborating partner'],Non-Governmental Organization,['recLzUBYjCmlalnB5'],3is,https://3is.org/,
recI88jmqaSSfDdcZ,510,The Netherlands Red Cross‘ data and digital unit 510,['Implementing partner'],Red Cross,['recVQtT1tEPJ0Zhwv'],510,https://510.global/,
recOme3wOJeYUvtue,AAI,ActionAid International (FHN Secretariat),['Implementing partner'],Non-Governmental Organization,['recK7YpAfDSsOeMLa'],aai,https://actionaid.org/,
recqcx0YaFwpyx1Ng,AAN,Afghanistan Analysts Network,['Collaborating partner'],Research Entity,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",aan,https://www.afghanistan-analysts.org/,
recnlpfRuvi3EcUXx,ACAPS,ACAPS,['Collaborating partner'],Non-Governmental Organization,"['recUrUUESMc1dGaGr', 'recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",acaps,https://www.acaps.org/en/about-us/who-we-are,
recPUtyjHFZWWnDQd,ACHR,Access Center for Human Rights (ACHR),['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",achr,https://achrights.org/en/,
reclFvEkKR7sCD7l3,ACLED,Armed Conflict Location & Event Data Project (ACLED),"['Project lead partner', 'Collaborating partner']",Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs', 'reconoiv65LoDbUFr', 'recvpn8u6HBffMRWu', 'recVQtT1tEPJ0Zhwv', 'recmrtrQhRDBZVxxz']",acled,https://acleddata.com/,29508969.0
recw6GIlhftXiELaO,ACMS,Xenowatch / African Centre for Migration & Society,['Collaborating partner'],Research Entity,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",acms,https://xenowatch.ac.za,
recA94rfL25336oit,ACTED,Agency for Technical Cooperation and Development,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",acted,https://www.acted.org,
rec0ZpGsPKsJm96A4,ADHRB,Americans for Democracy & Human Rights in Bahrain,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",adhrb,https://www.adhrb.org/,
